Location;Date;Start;End;Id
2lang;20240830;12:00;18:00;Vol1
2lang;20240830;12:00;18:00;Vol2
2lang;20240830;18:00;11:59;Vol1
2lang;20240830;18:00;11:59;Vol2
Oceanen;20240830;14:00;18:00;Vol1
Oceanen;20240830;14:00;18:00;Vol2
Oceanen;20240830;18:00;11:59;Vol1
Oceanen;20240830;18:00;11:59;Vol2
